name,symbol,endpt_col,strat,mode,short_rol,long_rol,rol,thres,num_std,exit_thres,confirm_bars,min_hold,cooldown,url
201_market_price_usd_ohlc,BTC,c,zscore,long_short,,,85,0.2,,0.45,4,6,5,https://api.glassnode.com/v1/metrics/market/price_usd_ohlc
202_market_price_usd_ohlc,ETH,c,zscore,long_short,,,50,0.2,,0.45,4,6,5,https://api.glassnode.com/v1/metrics/market/price_usd_ohlc
